feature,importance
cat1,21302
vues_totales_historique,15764
tail_x_segment_encoded,12968
cat3,11479
cat1_x_mois_encoded,8932
vues_max_28d,8865
cat2,8790
tail,8769
vues_lr_log,7959
vues_min_28d,7354
tail_x_segment,5242
mois_sin,5006
vues_min_7d,4718
vues_max_7d,4622
clics_lr_log,4414
jours_avant_prochain_solde,4049
cat1_x_mois,4002
mois_cos,3977
trend_28d,3691
panier_moyen,3540
type_solde,3373
type_solde_future,3341
distance_ponderee,3081
tail_x_intensite_future,2720
tail_x_intensite_future_encoded,2140
trend_14d,1938
tail_normalized,1389
intensite_prochain_solde,1377
taux_conversion,1370
commandes_lr_log,1260
segment_x_intensite_event,1206
trend_7d,1188
va_lr_log,1099
momentum_7_28,999
intensite_solde,895
vues_lr_log_lag28d,845
vues_lr_log_ma_28d_par_cat1,788
taux_conversion_ma_28d_par_cat1,725
acceleration_7d,690
cat1_x_in_black_friday,676
momentum_ma_7_60,608
vues_std_60d,584
jour_de_la_semaine_sin,538
zscore_28d,530
cat1_x_future_soldes_hiver,530
vues_std_14d,485
range_28d_norm,482
vues_std_7d,413
vues_lr_log_lag14d,359
cv_28d,351
jour_de_la_semaine_cos,345
vues_ma_60d,339
cat1_x_future_black_friday,336
vues_ma_7d,336
vues_ma_28d,308
cv_7d,304
vues_lr_log_lag7d,299
cat1_x_in_soldes_hiver,299
clics_lr_log_lag28d,294
intensite_solde_future,292
range_7d_norm,290
clics_lr_log_lag14d,280
vues_lr_log_lag337d,253
in_pre_blackfriday,250
tail_segment,234
in_soldes_ete,219
semaine_avant_solde_majeur,216
segment_popularite,193
future_soldes_hiver,131
is_sunday,94
is_active_commerce,93
in_periode_noel,88
cat1_x_in_black_friday_encoded,88
future_soldes_ete,79
in_black_friday,58
future_black_friday,41
est_en_solde,29
has_clics,25
in_pre_event_14d,19
sera_en_solde,2
